unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
tierpoint-valley-forge,datacenters.com,TierPoint: Valley Forge Data Center,TierPoint,1000 Adams Avenue,Norristown,,PA,USA,137000 sqft total space,61000 sqft colocation space,,,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-valley-forge,,137000.0
flexential-dallas-richardson,datacenters.com,Flexential: Dallas - Richardson Data Center,Flexential,3010 Waterview Pkwy,Richardson,75080,TX,USA,100807 sqft,50851 sqft,,3.0 MW,,"HITRUST CSF, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-dallas-richardson,3.0,100807.0
tierpoint-nashville,datacenters.com,TierPoint: Nashville Data Center,TierPoint,311 Eddy Lane,Franklin,,TN,USA,52000 sqft total space,26000 sqft colocation space,,,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-nashville,,52000.0
flexential-cincinnati,datacenters.com,Flexential: Cincinnati Data Center,Flexential,5307 Muhlhauser Rd,Hamilton,45011,OH,USA,43551 sqft total space,16000 sqft colocation space,,,,"NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-cincinnati,,43551.0
tierpoint-allentown-tekpark,datacenters.com,TierPoint: Allentown - TekPark Data Center,TierPoint,9999 Hamilton Boulevard,Breinigsville,,PA,USA,122000 sqft total space,58300 sqft colocation space,,25.0 MW total power,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-allentown-tekpark,25.0,122000.0
tierpoint-raleigh,datacenters.com,TierPoint: Raleigh Data Center,TierPoint,5301 Departure Drive,Raleigh,,NC,USA,65000 sqft total space,40000 sqft colocation space,,2.0 MW total power,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-raleigh,2.0,65000.0
flexential-atlanta-norcross,datacenters.com,Flexential: Atlanta - Norcross Data Center,Flexential,2775 Northwoods Pkwy,Norcross,30071,GA,USA,32740 sqft total space,10000 sqft colocation space,,2.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-atlanta-norcross,2.0,32740.0
coresite-va1-reston,datacenters.com,,,,,,,,,,,,,,https://www.datacenters.com/coresite-va1-reston,,
tierpoint-new-york-hwt-hawthorne,datacenters.com,TierPoint: New York - HWT Hawthorne Data Center,TierPoint,11 Skyline Drive,Hawthorne,,NY,USA,46000 sqft total space,28000 sqft colocation space,,,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-new-york-hwt-hawthorne,,46000.0
coresite-ny2-new-jersey-secaucus,datacenters.com,CoreSite: NY2 New Jersey Secaucus Data Center,CoreSite,2 Emerson Lane,Secaucus,,NJ,USA,236000 sqft total space,236000 sqft,,,,"FISMA, HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/coresite-ny2-new-jersey-secaucus,,236000.0
