unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/43830-devin-shafron-dr/,datacentermap,43830 Devin Shafron Drive (IAD24),Digital Realty,43830 Devin Shafron Drive,Ashburn,20147,Virginia,USA,"57,700 sq.f.","113,300 sq.f.",2011,6.8 MW,,"Tier 3, DSS, PCI Certified, ISO27001 Certified, LEED Silver, ISO9001 Certified, ISO14001 Certified, SOC 1 Type II Certified, SOC 2 Type II Certified, SOC 3 Type 2 Certified",https://www.datacentermap.com/usa/virginia/ashburn/43830-devin-shafron-dr/,6.8,113300.0
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/ashburn-wdc1/,datacentermap,Centersquare Ashburn Campus,Evoque,21561-21571 Beaumeade Circle,Ashburn,20147,Virginia,USA,"164,453 sq.f.","164,453 sq.f.",,10 MW,Enterprise,"DSS PCI Certified, ISAE3402 Type 2 Certified, SOC 1 Type II Certified, SOC 2 Type II Certified, SOC 3 Type 1 Certified",https://www.datacentermap.com/usa/virginia/ashburn/ashburn-wdc1/,10.0,164453.0
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/44100-digital-loudoun-plaza/,datacentermap,44100 Digital Loudoun Plaza (IAD38),Digital Realty,44100 Digital Loudoun Plaza,Ashburn,20147,Virginia,USA,"115,100 sq.f.","226,000 sq.f.",,16.9 MW,,"DSS, PCI Certified, ISO27001 Certified, HIPAA, ISO9001 Certified, ISO14001 Certified, SOC 1 Type II Certified, SOC 2 Type II Certified, SOC 3 Type 2 Certified, NIST 800-53 Security",https://www.datacentermap.com/usa/virginia/ashburn/44100-digital-loudoun-plaza/,16.9,226000.0
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/44274-round-table-plaza-bldg-l/,datacentermap,"44274 Round Table Plaza, Bldg L (IAD39)",Digital Realty,44274 Round Table Plaza,Ashburn,20147,Virginia,USA,"1,057,000 sq.f.","469,600 sq.f.",2017,96.3 MW,,"DSS PCI Certified, ISO27001 Certified, ISO9001 Certified, ISO14001 Certified, SOC 2 Type II Certified, SOC 3 Type 2 Certified",https://www.datacentermap.com/usa/virginia/ashburn/44274-round-table-plaza-bldg-l/,96.3,1057000.0
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/44461-chilum-place/,datacentermap,44461 Chilum Place (ACC6),Digital Realty,44461 Chilum Place,Ashburn,20147,Virginia,USA,"222,000 sq.f.","135,100 sq.f.",,26 MW,,"DSS, PCI Certified, ISO27001 Certified, LEED Silver, SOC 1 Type II Certified, SOC 2 Type II Certified, SOC 3 Type 2 Certified",https://www.datacentermap.com/usa/virginia/ashburn/44461-chilum-place/,26.0,222000.0
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/44480-hastings-drive/,datacentermap,,,,,,,,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/44480-hastings-drive/,,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/cologix-ash1-s/,datacentermap,Cologix ASH1-S,Cologix,21745 Beaumeade Circle,Ashburn,20147,Virginia,USA,"455,000 sq.f.","455,000 sq.f.",,120 MW,Hyperscale,Tier 3,https://www.datacentermap.com/usa/virginia/ashburn/cologix-ash1-s/,120.0,455000.0
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/21625-gresham-drive/,datacentermap,21625 Gresham Drive (ACC7),Digital Realty,21625 Gresham Drive,Ashburn,20147,Virginia,USA,"259,200 sq.f.","446,000 sq.f.",,41.6 MW,,"DSS, PCI Certified, ISO27001 Certified, LEED Gold, SOC 1 Type II Certified, SOC 3 Type 2 Certified",https://www.datacentermap.com/usa/virginia/ashburn/21625-gresham-drive/,41.6,446000.0
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/44521-hastings-drive/,datacentermap,,,,,,,,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/44521-hastings-drive/,,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/43940-digital-loudoun-plaza/,datacentermap,44060 Digital Loudoun Plaza (IAD37),Digital Realty,"44060 Digital Loudoun Plaza, Building G",Ashburn,20147,Virginia,USA,"169,200 sq.f.","284,000 sq.f.",,19.8 MW,,"DSS PCI Certified, ISO27001 Certified, ISO9001 Certified, ISO14001 Certified, ISO50001 Certified, SOC 1 Type II Certified, SOC 2 Type II Certified, SOC 3 Type 2 Certified",https://www.datacentermap.com/usa/virginia/ashburn/43940-digital-loudoun-plaza/,19.8,284000.0
