unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
flexential-dallas-richardson,datacenters.com,Flexential: Dallas - Richardson Data Center,Flexential,3010 Waterview Pkwy,Richardson,75080,TX,USA,100807 sqft,50851 sqft,,3.0 MW,,"HITRUST CSF, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-dallas-richardson,3.0,100807.0
tierpoint-allentown-tekpark,datacenters.com,TierPoint: Allentown - TekPark Data Center,TierPoint,9999 Hamilton Boulevard,Breinigsville,,PA,USA,122000 sqft total space,58300 sqft colocation space,,25.0 MW total power,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-allentown-tekpark,25.0,122000.0
tierpoint-raleigh,datacenters.com,TierPoint: Raleigh Data Center,TierPoint,5301 Departure Drive,Raleigh,,NC,USA,65000 sqft total space,40000 sqft colocation space,,2.0 MW total power,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-raleigh,2.0,65000.0
flexential-atlanta-norcross,datacenters.com,Flexential: Atlanta - Norcross Data Center,Flexential,2775 Northwoods Pkwy,Norcross,30071,GA,USA,32740 sqft total space,10000 sqft colocation space,,2.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-atlanta-norcross,2.0,32740.0
flexential-richmond,datacenters.com,Flexential: Richmond Data Center,Flexential,8851 Park Central Drive suite b,Richmond,23227,VA,USA,28594 sqft,10500 sqft,,2.0 MW,,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-richmond,2.0,28594.0
flexential-charlotte-south,datacenters.com,Flexential: Charlotte - South Data Center,Flexential,8910 Lenox Pointe Drive,Charlotte,,NC,USA,66666 sqft total space,13600 sqft colocation space,,2.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-charlotte-south,2.0,66666.0
tierpoint-dallas-allen,datacenters.com,TierPoint: Dallas - Allen Data Center,TierPoint,840 Allen Commerce Parkway,Allen,,TX,USA,30000 sqft total space,16000 sqft colocation space,,2.0 MW total power,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-dallas-allen,2.0,30000.0
flexential-philadelphia-collegeville,datacenters.com,Flexential: Philadelphia - Collegeville Data Center,Flexential,101 Troutman Road,Collegeville,,PA,USA,203703 sqft total space,203703 sqft colocation space,,7.0 MW total power,,"HITRUST CSF, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-philadelphia-collegeville,7.0,203703.0
flexential-denver-aurora,datacenters.com,Flexential: Denver - Aurora Data Center,Flexential,11900 East Cornell Avenue,Aurora,,CO,USA,171000 sqft total space,171000 sqft colocation space,,6.0 MW total power,,"HITRUST CSF, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-denver-aurora,6.0,171000.0
flexential-louisville-downtown,datacenters.com,Not Available,Flexential,752 Barret Ave,Louisville,40204,KY,USA,61080 sqft total space,8500 sqft colocation space,,3.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 16 Type 1, SSAE 18",https://www.datacenters.com/flexential-louisville-downtown,3.0,61080.0
