latitude,longitude,name,provider,full_address,data_center_count,aggregated_power,aggregated_area,yearbuilt,sources,avg_name_similarity,avg_provider_similarity,state,facility_type_orig,log_power,log_area,ftype_Building,ftype_Campus,ftype_Individual,aggregated_power_imputed
21.3348217,-157.9184074,DRFortress · 3375 Koapaka Street Suite D-198,DRFortress,"3375 Koapaka Street Suite D-198, Honolulu, HI, USA",1,4.0,65000.0,1988.0,datacenterhawk; datacenters.com,1.0,1.0,HI,Individual,1.6094379124341003,11.082157933374816,False,False,True,3.999999999999999
21.3360774,-157.9175319,Evocative · HNL,Evocative,"3375 Koapaka Street, Honolulu, HI, USA",1,,,1988.0,datacenterhawk; datacenters.com,1.0,1.0,HI,Individual,,,False,False,True,
21.336815,-158.0902073,1547 Realty · AlohaNAP,1547 Realty,"91-340 Farrington Highway, Kapolei, HI, USA",1,2.0,10200.0,1990.0,datacenterhawk; datacenters.com,1.0,1.0,HI,Individual,1.0986122886681098,9.23024103368252,False,False,True,2.0000000000000004
21.4809224,-158.0192586,Servpac · 200 Kahelu Avenue,ServPac,"200 Kahelu Avenue, Mililani, HI, USA",2,0.0,30000.0,1990.0,datacenterhawk,1.0,1.0,HI,Building,0.0,10.308985993422082,True,False,False,0.0
25.7757021,-80.193056,ColoHouse · MIA I,Digital Realty,"36 NE 2nd Street, Miami, FL, USA",8,,,1920.0,datacenterhawk; datacenters.com,0.4890993168465578,0.6640926640926642,FL,Ambiguous/Flagged,,,False,False,False,
25.775811,-80.1928715,"South Reach Networks · 36 NE 2nd Street, Suite 520",Florida Power and Light,"36 NE 2nd Street, Suite 520, Miami, FL, USA",1,1.2,162140.0,1925.0,datacenterhawk,1.0,1.0,Miami,Individual,0.7884573603642703,11.996221606032238,False,False,True,1.2000000000000002
25.7758419,-80.1929625,Not Available,Digital Realty,"36 Northeast 2nd Street, Miami, FL, 33132, USA",2,,,1999.0,datacenters.com,0.2807017543859649,0.1,FL,Ambiguous/Flagged,,,False,False,False,
25.7758398,-80.1929686,Voxility · Miami 2,Digital Realty,"36 NE 2nd Street, Suite 400, Miami, FL, USA",2,2.0,162140.0,1920.0,datacenterhawk; datacenters.com,1.0,1.0,Miami,Individual,1.0986122886681098,11.996221606032238,False,False,True,2.0000000000000004
25.7823647,-80.1931295,Equinix · MI1 (NAP of the Americas),Equinix,"50 NE 9th Street, Miami, FL, USA",5,,,2001.0,datacenterhawk; datacenters.com,0.6360613577172021,0.5111111111111111,FL,Ambiguous/Flagged,,,False,False,False,
25.7876698,-80.3546521,Equinix · MI6,Equinix,"1525 NW 98th Court, Doral, FL, USA",1,,110000.0,2000.0,datacenterhawk; datacenters.com,1.0,1.0,FL,Individual,2.0849251747131348,11.608244735642321,False,False,True,7.0439895653519216
