latitude,longitude,name,provider,full_address,facility_type,data_center_count,aggregated_power,aggregated_area,yearbuilt,sources,avg_name_similarity,avg_provider_similarity
21.3344171,-157.9171751659152,"Krypt: Data Center Honolulu, HI (HNL1)",,"3375 Koapaka Street, Honolulu, HI, 96819, USA",Individual,1,,,,datacenters.com,1.0,1.0
21.3348217,-157.9184074,DRFortress · 3375 Koapaka Street Suite D-198,DRFortress,"3375 Koapaka Street Suite D-198, Honolulu, HI, USA",Individual,1,4.0,65000.0,1988.0,datacenterhawk; datacenters.com,1.0,1.0
21.3360774,-157.9175319,Evocative · HNL,Evocative,"3375 Koapaka Street, Honolulu, HI, USA",Individual,1,,,1988.0,datacenterhawk; datacenters.com,1.0,1.0
21.336815,-158.0902073,1547 Realty · AlohaNAP,1547 Realty,"91-340 Farrington Highway, Kapolei, HI, USA",Individual,1,2.0,10200.0,1990.0,datacenterhawk; datacenters.com,1.0,1.0
21.4809224,-158.0192586,Servpac · 200 Kahelu Avenue,ServPac,"200 Kahelu Avenue, Mililani, HI, USA",Building,2,0.0,30000.0,1990.0,datacenterhawk,1.0,1.0
25.7612274,-80.1910809,CenterServ: Miami Data Center,CenterServ,"1221 Brickell Avenue, Miami, FL, USA",Individual,1,,,,datacenters.com,1.0,1.0
25.7715914,-80.4176876,Metrobloks · Miami,Metrobloks,"400 West 137th Avenue, Miami, FL, USA",Individual,1,,,,datacenterhawk,1.0,1.0
25.7732153,-80.1899214,Cogent Communications: Miami Data Center,Cogent Communications,"200 Southeast 1st Street, Miami, FL, USA",Individual,1,,141687.0,,datacenters.com,1.0,1.0
25.7757021,-80.193056,ColoHouse · MIA I,Digital Realty,"36 NE 2nd Street, Miami, FL, USA",Ambiguous/Flagged,8,,,1920.0,datacenterhawk; datacenters.com,0.4890993168465578,0.6640926640926642
25.775811,-80.1928715,"South Reach Networks · 36 NE 2nd Street, Suite 520",Florida Power and Light,"36 NE 2nd Street, Suite 520, Miami, FL, USA",Individual,1,1.2,162140.0,1925.0,datacenterhawk,1.0,1.0
25.775811,-80.19295799999999,Hivelocity: FLL1 Ft Lauderdale FL,Hivelocity,"36 Northeast 2nd Street suite 600, Miami, FL, USA",Ambiguous/Flagged,2,,,,datacenters.com,0.273972602739726,1.0
25.7758125,-80.1882476,Volico Data Center: MIA1 - Miami Data Center,Volico,"100 Biscayne Boulevard, Miami, FL, USA",Individual,1,,5005.0,,datacenters.com,1.0,1.0
25.7758419,-80.1929625,Not Available,Digital Realty,"36 Northeast 2nd Street, Miami, FL, 33132, USA",Ambiguous/Flagged,2,,,1999.0,datacenters.com,0.2807017543859649,0.1
25.7758398,-80.1929686,Voxility · Miami 2,Digital Realty,"36 NE 2nd Street, Suite 400, Miami, FL, USA",Individual,2,2.0,162140.0,1920.0,datacenterhawk; datacenters.com,1.0,1.0
25.7823647,-80.1931295,Equinix · MI1 (NAP of the Americas),Equinix,"50 NE 9th Street, Miami, FL, USA",Ambiguous/Flagged,5,,,2001.0,datacenterhawk; datacenters.com,0.6360613577172021,0.5111111111111111
25.7825762,-80.1927703,Edgeuno: MIA1 Miami Data Center,Zenlayer,"50 NE 9th St, Miami, FL, 33132, USA",Campus,2,0.0,0.0,,datacenters.com,0.8253968253968254,1.0
25.7876698,-80.3546521,Equinix · MI6,Equinix,"1525 NW 98th Court, Doral, FL, USA",Individual,1,,110000.0,2000.0,datacenterhawk; datacenters.com,1.0,1.0
25.7914961,-80.37958189999999,QTS · 11234 NW 20th Street,QTS,"11234 NW 20th Street, Miami, FL, USA",Individual,1,2.0,38000.0,2008.0,datacenterhawk; datacenters.com,1.0,1.0
25.7930135,-80.38119215,EdgeConnex: MIA01 Miami Data Center,EdgeConnex,"2132 Northwest 114th Avenue, Miami, FL, 33172, USA",Individual,1,1.0,27000.0,,datacenters.com,1.0,1.0
25.793027,-80.3812425,EdgeConneX · MIA01,EdgeConnex,"2132 NW 114th Avenue, Miami, FL, USA",Individual,1,1.5,32000.0,2015.0,datacenterhawk,1.0,1.0
25.7933177,-80.33358109999999,CoreSite · MI2,CoreSite,"2100 NW 84th Avenue, Doral, FL, USA",Building,2,0.0,103000.0,1991.0,datacenterhawk,1.0,1.0
25.7952595,-80.3432196,Aptum Technologies · 2300 NW 89th Place,Aptum Technologies,"2300 NW 89th Place, Doral, FL, USA",Ambiguous/Flagged,3,,,1984.0,datacenterhawk,0.7657657657657658,0.4583333333333333
25.79547075,-80.34320432924858,Aptum Technologies: MIA-89P Data Center,Aptum Technologies,"2300 NW 89th Pl, Doral, FL, 33172, USA",Individual,1,2.0,50176.0,1984.0,datacenters.com,1.0,1.0
25.7961266,-80.3799457,Radius DC · 11300 NW 25th Street,RadiusDC,"11300 NW 25th Street, Sweet Water, FL, USA",Individual,2,,173500.0,2001.0,datacenterhawk; datacenters.com,1.0,1.0
25.797544,-80.23003260000002,CoreSite · MI1,Coresite,"2115 NW 22nd Street, Miami, FL, USA",Building,3,0.0,43330.0,2002.0,datacenterhawk; datacenters.com,0.7301587301587301,0.5402298850574713
25.7975443,-80.23003379573089,LeaseWeb: Miami MIA-11 Data Center,LeaseWeb,"2115 NW 22nd St, Miami, FL, 33142, USA",Individual,1,,43000.0,,datacenters.com,1.0,1.0
25.7979518,-80.2148204,Lumen: Miami 4 Data Center,Lumen,"1109 Northwest 22nd Street, Miami, FL, USA",Individual,1,,100000.0,,datacenters.com,1.0,1.0
25.8079034,-80.32864599999999,Cogent Communications: Doral Data Center,Cogent Communications,"3701 Northwest 82nd Avenue, Doral, FL, USA",Individual,1,,9760.0,,datacenters.com,1.0,1.0
25.8482745,-80.1949020627826,iM Critical: Miami Data Center,,"100 Northeast 80th Terrace, Miami, FL, 33138, USA",Individual,1,,,,datacenters.com,1.0,1.0
25.848329,-80.19481200000001,iM Critical · Miami,iM Critical,"100 NE 80th Terrace, Miami, FL, USA",Individual,1,,,1957.0,datacenterhawk; datacenters.com,1.0,1.0
25.8694257,-80.3790982,EdgeConneX · MIA03,EdgeConneX,"Northwest 106th Street and Northwest 112th Avenue, Miami, FL, USA",Individual,1,,,,datacenterhawk,1.0,1.0
25.8845794,-80.24720649999999,Iron Mountain Data Centers · MIA-1,Iron Mountain,"2925 NW 120th Terrace, Miami, FL, USA",Individual,1,16.0,150000.0,2026.0,datacenterhawk; datacenters.com,1.0,1.0
25.9454596,-80.19147509999999,EdgeConneX · MIA02,EdgeConneX,"475 NE 185th Street, Miami, FL, USA",Individual,1,2.0,65518.0,1983.0,datacenterhawk; datacenters.com,1.0,1.0
26.1239168,-80.1459319,Not Available,Lumen,"200 Northwest 2nd Street, Fort Lauderdale, FL, USA",Individual,1,,9108.0,,datacenters.com,1.0,1.0
26.1664428,-98.2297788,1547 Critical Systems Realty: McAllen TX Data Center,Chase Bank,"South 10th Street, McAllen, TX, USA",Individual,1,1.0,209000.0,,datacenters.com,1.0,1.0
26.1849652,-80.28689949999999,Sunrise Data Services · T-Mobile Everglades MSO,FP&L,"4850 NW 103rd Ave., Sunrise, FL, USA",Individual,1,1.75,33560.0,2018.0,datacenterhawk,1.0,1.0
26.185051,-80.19083309999999,365 Data Centers · FL1,365 Data Centers,"3250 W Commercial Blvd, Suite 140Fort Lauderdale, Miami, FL, USA",Individual,1,0.935,83326.0,1990.0,datacenterhawk; datacenters.com,1.0,1.0
26.1901149,-80.1932918,Flexential · Fort Lauderdale,Flexential,"5301 NW 33rd Avenue, Fort Lauderdale, FL, USA",Individual,1,,64164.0,1994.0,datacenterhawk,1.0,1.0
26.1927222,-80.10384499999999,Flexential: Fort Lauderdale Data Center,Flexential,"5301 Northwest 33rd Avenue, Fort Lauderdale, FL, USA",Ambiguous/Flagged,2,,,,datacenters.com,0.6605504587155964,0.3333333333333333
26.193732142857144,-97.69097642857145,Lumen Harlingen 2,Lumen,"514 E Monroe Ave, Harlingen, TX, 78550, USA",Individual,1,0.02,,,datacentermap,1.0,1.0
26.193897040816328,-97.691061122449,Lumen Harlingen 1,Lumen,"505 E. Monroe, Harlingen, TX, 78550, USA",Individual,1,,5208.0,,datacentermap,1.0,1.0
26.1993898,-98.2321541,MDC Data Centers · MCA2,MDC Data Centers,"422 South 11th Street, McAllen, TX, USA",Individual,1,0.5,16000.0,1990.0,datacenterhawk; datacenters.com,1.0,1.0
